outlet,date,headline,url,summary,predicted_label,predicted_confidence,predicted_probs,model_version,label,labelled_by,labelled_at,cluster_id
Kurir,2026-09-16,"VELIČANSTVEN PRIZOR U SRCU BEOGRADA! Svi zajedno pod jednom jedinom srpskom trobojkom! Ovako se voli otadžbina, zastavi se ne vidi kraj! (VIDEO)",https://www.kurir.rs/vesti/politika/10106029/srpska-zastava-proneta-beogradom,,nothing,1.0,"{""vilifying_opponents"": 0.0, ""vilifying_neighbours"": 0.0, ""personality_cult"": 0.0, ""vilifying_eu"": 0.0, ""nothing"": 1.0}",rung0-dummy,,,,
Kurir,2026-09-16,"""NEPRAVEDNO, PREDUZEĆEMO SVE DA UKINEMO OVE PRESUDE"" Šok i gnev u Prištini zbog kazni za Tačija i ostale, Haradinaj najavio drugostepeni postupak",https://www.kurir.rs/vesti/politika/10106014/reakcije-iz-pristine-na-presudu-taciju-i-ostalima-u-hagu,,nothing,1.0,"{""vilifying_opponents"": 0.0, ""vilifying_neighbours"": 0.0, ""personality_cult"": 0.0, ""vilifying_eu"": 0.0, ""nothing"": 1.0}",rung0-dummy,,,,
Kurir,2026-09-16,"LAŽU U NASLOVU, LAŽU U TEKSTU, ALI ČINJENICE IH DEMANTUJU: Vodeća svetska agencija pohvalila srpsku privredu, a N1 od svega napravio „NEIZVESNE IZBORE“!",https://www.kurir.rs/vesti/politika/10105937/vodeca-svetska-agencija-pohvalila-srpsku-privredu-a-n1-od-svega-napravio-neizvesne-izbore,,nothing,1.0,"{""vilifying_opponents"": 0.0, ""vilifying_neighbours"": 0.0, ""personality_cult"": 0.0, ""vilifying_eu"": 0.0, ""nothing"": 1.0}",rung0-dummy,,,,
Kurir,2026-09-16,"NISMO NI SUMNJALI DA ĆE OVAKVA ""GROMADA"" STATI IZA BLOKADERA! Crnogorac koji podržava Srdanovića mrzi SPC, slavi lažnu državu Kosovo, divljao po Vatikanu (FOTO)",https://www.kurir.rs/vesti/politika/10105965/ko-je-miodrag-vlahovic-crnogorac-koji-je-podrzao-iliju-srdanovica,,nothing,1.0,"{""vilifying_opponents"": 0.0, ""vilifying_neighbours"": 0.0, ""personality_cult"": 0.0, ""vilifying_eu"": 0.0, ""nothing"": 1.0}",rung0-dummy,,,,
Kurir,2026-09-16,TAČNO U 18.3O SATI: Predsednik Vučić obraća se naciji povodom presuda zločincima OVK,https://www.kurir.rs/vesti/politika/10105951/predsednik-vucic-obraca-se-povodom-presuda-zlocincima-ovk,,nothing,1.0,"{""vilifying_opponents"": 0.0, ""vilifying_neighbours"": 0.0, ""personality_cult"": 0.0, ""vilifying_eu"": 0.0, ""nothing"": 1.0}",rung0-dummy,,,,
Kurir,2026-09-16,"PRESUDA VOĐAMA ZLOČINAČKE OVK, SVA ČETVORICA KRIVA ZA RATNE ZLOČINE: Hašimu Tačiju i Jakupu Krasnićiju po 25 godina zatvora! Veseljiju 18, Seljimiju 13! (VIDEO)",https://www.kurir.rs/vesti/politika/10105707/presuda-hasim-taci-ovk-zlocini-kim,,nothing,1.0,"{""vilifying_opponents"": 0.0, ""vilifying_neighbours"": 0.0, ""personality_cult"": 0.0, ""vilifying_eu"": 0.0, ""nothing"": 1.0}",rung0-dummy,,,,
Kurir,2026-09-16,PRVI NA BLOKADERSKOJ LISTI OTVORENO TARGETIRAO STUDENTE! Srdanović ugrozio bezbednost akademaca jer NISU HTELI DA BUDU PLENUMAŠI (FOTO),https://www.kurir.rs/vesti/politika/10105868/kako-je-srdanovic-javno-targetirao-studente-koji-nisu-blokaderi,,nothing,1.0,"{""vilifying_opponents"": 0.0, ""vilifying_neighbours"": 0.0, ""personality_cult"": 0.0, ""vilifying_eu"": 0.0, ""nothing"": 1.0}",rung0-dummy,,,,
Kurir,2026-09-16,"DOKLE VIŠE DVOSTRUKI ARŠINI?! Briselu ne smeta sahrana krvnika Dinka Šakića u ustaškoj uniformi i veličanje ubica iz OVK, ali prete Srbiji zbog Mladića! (VIDEO)",https://www.kurir.rs/vesti/politika/10105877/briselu-ne-smeta-sahrana-sakica-u-ustaskoj-uniformi-ali-prete-srbiji-zbog-ratka-mladica,,nothing,1.0,"{""vilifying_opponents"": 0.0, ""vilifying_neighbours"": 0.0, ""personality_cult"": 0.0, ""vilifying_eu"": 0.0, ""nothing"": 1.0}",rung0-dummy,,,,
Kurir,2026-09-16,"""SRBIJU MORA DA VODI CRNOGORAC, NEIZBEŽNO!"" Najveći crnogorski separatista podržao Srdanovića, prvog na blokaderskoj listi (FOTO)",https://www.kurir.rs/vesti/politika/10105856/Vlahovic-podrzao-Srdanovica-Crnogorac-na-celu-Srbije,,nothing,1.0,"{""vilifying_opponents"": 0.0, ""vilifying_neighbours"": 0.0, ""personality_cult"": 0.0, ""vilifying_eu"": 0.0, ""nothing"": 1.0}",rung0-dummy,,,,
Kurir,2026-09-16,"""UDALJITE SE ILI ĆEMO UPOTREBITI SILU"" Haška policija u opremi za razbijanje demontracija ispred suda gde se čeka presuda vođama OVK, Tačiju i još trojici VIDEO",https://www.kurir.rs/vesti/politika/10105837/desavanja-ispred-suda-u-hagu-koji-izrice-presudu-taciju,,nothing,1.0,"{""vilifying_opponents"": 0.0, ""vilifying_neighbours"": 0.0, ""personality_cult"": 0.0, ""vilifying_eu"": 0.0, ""nothing"": 1.0}",rung0-dummy,,,,
Kurir,2026-09-16,"NI NJEGOVI GA NISU HTELI, A HOĆE DA VODI DRŽAVU?! Iliju Srdanovića ni kolege lekari nisu izabrali da vodi Lekarsku komoru, a blokaderi žele da vodi Srbiju?!",https://www.kurir.rs/vesti/politika/10105801/zasto-je-ilija-srdanovic-odbio-duel-sa-predsednikom-aleksandrom-vucicem,,nothing,1.0,"{""vilifying_opponents"": 0.0, ""vilifying_neighbours"": 0.0, ""personality_cult"": 0.0, ""vilifying_eu"": 0.0, ""nothing"": 1.0}",rung0-dummy,,,,
Kurir,2026-09-16,"""DETALJNIJE SAM GA UPOZNAO SA SVE IZRAŽENIJIM TENZIJAMA NA KOSOVU I METOHIJI"" Predsednik Vučić razgovarao s komandantom Nacionalne garde Ohaja",https://www.kurir.rs/vesti/politika/10105658/vucic-s-komandantom-nacionalne-garde-ohaja,,nothing,1.0,"{""vilifying_opponents"": 0.0, ""vilifying_neighbours"": 0.0, ""personality_cult"": 0.0, ""vilifying_eu"": 0.0, ""nothing"": 1.0}",rung0-dummy,,,,
Kurir,2026-09-16,"JEFTINA DEMAGOGIJA BLOKADERA! Analitičari: Umesto mladih snaga, ""studentska"" lista poturila istrošene kadrove koji opet hoće u vlast",https://www.kurir.rs/vesti/politika/10105358/Studentska-lista-Demagogija-ili-stvarna-snaga-mladosti,,nothing,1.0,"{""vilifying_opponents"": 0.0, ""vilifying_neighbours"": 0.0, ""personality_cult"": 0.0, ""vilifying_eu"": 0.0, ""nothing"": 1.0}",rung0-dummy,,,,
